protocol,domain_name,address,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,having_ip_address,shortening_service,https_token,abnormal_url,web_traffic,domain_registration_length,age_of_domain,dns_record,statistical_report
http,us.imdb.com,name/nm0331906/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www-tech.mit.edu,v110/n37/gilber.37a.html,0,0,0,1,0,0,0,1,1,0,1,1,1,0
http,www-tech.mit.edu,v110/n38/lsc.38a.html,0,0,0,1,0,0,0,1,1,0,1,1,1,0
http,www.octopusmediaink.com,gilbertgottfried.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,citypaper.net,articles/022996/article001.shtml,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,jam.canoe.ca,movies/artists/g/gottfried_gilbert/1997/02/21/758674.html,2,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.voicechasers.com,database/showactor.php?actorid=2148,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.kylehebert.com,,0,0,0,0,0,0,1,1,1,2,1,1,1,0
http,www.post-gazette.com,magazine/19990223voicetalent1.asp,0,0,0,1,0,0,0,1,1,0,1,1,1,0
http,www.serkworks.com,roommates/index.htm,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.armory.com,~keeper/jesshirt.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.voicechasers.com,database/showactor.php?actorid=1220,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,docharris.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.lushmedia.co.uk,,0,0,0,0,2,0,0,1,1,1,1,1,1,0
http,www.dav-productions.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,1
http,www.ccvideo.net,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.blueyed.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.koalatv.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.goaggressive.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.emblemma.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.killingtimeproductions.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.rollingrproductions.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.roadrecords.com,clientlist.html,0,0,0,0,0,0,0,1,1,1,1,1,1,1
http,www.gamebeatinc.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,members.tripod.com,kcepap/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.audiolinks.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,business.fortunecity.com,tisch/809/gold.htm,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.harkproductions.com,audio.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.broadsideinteractive.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.celticharper.com,wolfhawk.html,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.geocities.com,svendesign/,0,0,0,0,0,0,0,1,1,0,1,1,1,0
http,www.thincgrafx.com,,0,0,0,0,0,0,1,1,1,1,1,1,1,1
http,www.vcpresentations.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,1
http,www.transmediaproject.com,,0,0,0,0,0,0,1,1,1,1,1,1,1,0
http,www.informationexperts.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.pluribusmedia.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.e-nimation.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,0
http,www.somme.no,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,paulmaple.co.uk,media/,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.cell-media.com,,0,0,0,1,0,0,0,1,1,1,1,1,1,0
http,www.concisegroup.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.allvid.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.imacron.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.reelized.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.avrs.net,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.videomagicpro.net,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.swerdlow.co.uk,,0,0,0,0,2,0,0,1,1,1,1,1,1,0
http,www.jnproductions.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.pepperjam.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.pageviews.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.podiums.co.uk,,0,0,0,0,2,0,0,1,1,1,1,1,1,0
http,www.pagearnold.co.uk,,0,0,0,0,2,0,0,1,1,1,1,1,1,1
http,www.quadrapromotions.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.qxest.net,,0,0,0,0,0,0,0,1,1,1,1,1,1,1
http,www.quisma.de,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.quirk.biz,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.top-website-promotion.co.uk,,0,0,0,1,2,0,0,1,1,1,1,1,1,0
http,www.redcarpetweb.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.rocketlist.com,,0,0,0,0,0,0,1,1,1,1,1,1,1,0
http,www.registersuccess.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.raise-your-sites.co.uk,,0,0,0,1,2,0,0,1,1,1,1,1,1,0
http,www.reinventbusiness.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.rainstormconsulting.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.resortwebmarketing.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.rbimedia.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.receptional.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.rankhigh.net,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.redzoneglobal.net,,0,0,0,0,0,0,0,1,1,1,1,1,1,1
http,www.raisemyrank.com,,0,0,0,0,0,0,0,1,1,2,1,1,1,0
http,www.registereverywhere.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
http,www.rankingman.com,,0,0,0,0,0,0,0,1,1,1,1,1,1,0
